	Ellenberg_Light	Ellenberg_Temperature	Ellenberg_Continentality	Ellenberg_Moisture	Ellenberg_Soil_Reaction	Ellenberg_Nutrients
Camptrac	4	   	3	6	8	8
Hierrace	7	6	4	4	5	2
Pulmoffi	5	6	5	5	8	6
Bracsylv	3	5	3	5	6	6
Rubuspec						
Luzudivu						
Carecurv						
Alliflav						
Hiercymo	7	6	5	3	8	2
Anthodor	   	   	   	   	5	   
Buplfalc	6	6	6	3	9	3
Arabthal	6	6	3	4	4	4
Melaarve	7	7	5	4	8	3
Euphdulc	4	5	2	5	8	5
Fallconv	7	6	   	5	   	6
Vicipisi	6	7	4	4	8	3
Cytiscop	8	5	2	4	3	4
Chenpoly	6	6	4	6	   	8
Elytinte	7	6	6	3	7	3
Ribecris	4	5	2	   	   	6
Euphspec						
Epiphell	3	5	3	5	7	5
Acinarve	9	6	3	2	5	1
Dentbulb	3	5	4	5	7	6
Symptube	4	   	4	6	7	5
Dictalbu	7	8	4	3	8	2
Polymult	2	   	5	5	6	5
Filaarve	8	7	5	3	4	2
Chaetemu	5	6	3	5	   	8
Vicihirs	7	6	5	4	   	4
Verovind	7	6	4	3	8	3
Allispec						
Silevulg	8	   	   	4	7	4
Epilspec						
Carecary	8	   	3	4	   	2
Galipumi	7	5	2	4	4	2
Peuccerv	7	6	4	3	7	3
Chenpedu						
Pimpsaxi	7	   	5	3	   	2
Galebifi	7	5	5	5	6	6
Sclepere	8	6	4	2	4	1
Festrubr	   	   	5	6	6	   
Astrglyc	6	6	4	4	7	3
Thympule	8	   	4	4	   	1
Cardimpa	5	   	4	6	7	8
Teuccham	7	6	4	2	8	1
Verocham	6	   	   	5	   	   
Carechab						
